game_id,away_team,home_team,away_score,home_score
277,統一7-ELEVEn獅,樂天桃猿,8,0
278,樂天桃猿,中信兄弟,5,4
279,統一7-ELEVEn獅,富邦悍將,3,9
280,樂天桃猿,統一7-ELEVEn獅,0,4
281,味全龍,富邦悍將,12,1
282,樂天桃猿,味全龍,2,7
283,中信兄弟,富邦悍將,1,2
284,樂天桃猿,味全龍,4,2
285,富邦悍將,統一7-ELEVEn獅,3,4
286,富邦悍將,統一7-ELEVEn獅,3,9
287,中信兄弟,統一7-ELEVEn獅,2,4
288,味全龍,樂天桃猿,3,4
289,中信兄弟,統一7-ELEVEn獅,1,7
290,味全龍,樂天桃猿,8,5
291,中信兄弟,味全龍,5,5
292,富邦悍將,樂天桃猿,4,2
293,中信兄弟,味全龍,0,4
294,富邦悍將,樂天桃猿,4,5
295,中信兄弟,富邦悍將,9,4
296,樂天桃猿,統一7-ELEVEn獅,13,5
297,富邦悍將,中信兄弟,0,1
298,統一7-ELEVEn獅,味全龍,6,7
299,統一7-ELEVEn獅,味全龍,6,7
300,富邦悍將,中信兄弟,1,4
